,text,major_principle,second_major_principle,third_major_principle,ethical_us
0,"An intelligent system connected to the video surveillance in the terminal can be given parameters to search for the current or latest location of a vehicle or person in the terminal by being given the register plate, a photo of a person, or other such identifying data.",privacy,transparency,trust,"**Title**: Ethical Surveillance System for Current or Latest Location Identification

**Description**: As a developer, I want the intelligent surveillance system to be developed with built-in mechanisms to protect the privacy of individuals whose data, such as vehicle registration plates or photos, are being used for current or latest location identification in the terminal. Additionally, I want the system to provide clear explanations and documentation about how personal data is being used, processed, and stored, ensuring transparency for users and stakeholders.

**Ethical principles used**: Privacy, Transparency"
1,Terminal area and booking documents and booking app contains the help information (for different purposes broken down).,transparency,beneficence,justice and equity,"**Title**: Clear and Comprehensive Help Information for Terminal Area, Booking Documents, and Booking App

**Description**: As a user, I need access to clear and comprehensive help information for the terminal area, booking documents, and booking app, so that I can understand how to effectively use these services and make informed decisions without confusion. This help information should be broken down by different purposes to cater to various user needs.

**Ethical principles used**: Transparency, Beneficence"
2,"Before a person with a vehicle enters the port, they are given explanation of what information will be handled, for example at the stage of making a reservation when they agree to give the necessary information of their vehicle.",transparency,freedom and autonomy,privacy,"**Title**: Informed Consent for Vehicle Information Handling

**Description**: Before a person with a vehicle enters the port, they should receive a clear explanation of what information will be handled. This information should be provided at the stage of making a reservation, ensuring that individuals are fully informed and can voluntarily agree to provide the necessary details about their vehicle.

**Ethical principles used**: Transparency, Freedom and Autonomy"
3,A clear advertisement is placed on the booking document about the AI and data privacy.,transparency,privacy,trust,"**Title**: Inform Users About AI Usage and Data Privacy on Booking Documents

**Description**: As a user, I want to see a clear advertisement on the booking document that explains how AI is utilized and provides information about data privacy, so that I can understand how my data is being used and feel secure in my privacy.

**Ethical principles used**: Transparency, Privacy"
4,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,transparency,privacy,responsibility,"**Title**: Clear Communication of Data Policies and GDPR Compliance

**Description**: As a user, I want the service app/web page to clearly communicate its data information policy, including procedures in place for GDPR compliance. This will include steps planned for managing large volumes of user data requests, such as resource redirection or expected waiting times, so that I can understand how my personal data is handled and my privacy is safeguarded.

**Ethical principles used**: Transparency, Privacy"
5,No feature of the smart terminal or port must interfere in an unwanted way with any system in the passenger vehicles.,non-maleficence,dignity,freedom and autonomy,"**Title**: Prevent Unwanted Interference with Passenger Vehicle Systems

**Description**: As a smart terminal or port user, I want to ensure that no feature of the smart terminal or port interferes in an unwanted way with any system in the passenger vehicles, so that passengers' safety, dignity, and vehicle functionality are safeguarded.

**Ethical principles used**: Non-maleficence, Dignity"
6,"Car indentation system (digital, semi-automated, etc.) with control, navigation and markings is placed in the car deck to direct cars in line and to right places.",beneficence,transparency,trust,"**Title**: Ethical Car Indentation System for Organized Parking 

**Description**: As a car deck designer, I want to implement a car indentation system with digital, semi-automated control, navigation, and markings that directs cars to line up and park in designated spots. This system aims to improve parking efficiency and safety through clear guidance while ensuring users are informed about how the system functions, thereby making the parking process beneficial and transparent.

**Ethical principles used**: Beneficence, Transparency"
7,"The system has a reliable way to detect people sitting in a vehicle, that is in balance with respecting the privacy of passengers and adhering to border protocols",privacy,trust,transparency,"**Title**: Reliable and Privacy-Respectful Passenger Detection in Vehicles

**Description**: As a user of the border control system, I want a reliable method to detect people sitting in a vehicle that ensures the privacy of passengers, so that border protocols are adhered to without compromising individuals' personal data and maintaining the trust of all stakeholders.

**Ethical principles used**: Privacy, Trust"
8,"The system is transparent in its functioning and marks possible ""uncertain"" situations with timestamps or other identifying information",transparency,justice and equity,trust,"**Title**: Ensure System Transparency and Equity with Timestamped Annotations on Uncertainties

**Description**: As a user, I want the system to transparently indicate uncertain situations by marking them with timestamps or other identifying information so that I can understand and verify the context and validity of the outputs, ensuring fair treatment and results.

**Ethical principles used**: Transparency, Justice and Fairness"
9,Car identification system is tested with right and wrong data and error handling is defined in the terminal action plan and terminal personnel is trained with error handling.,responsibility,trust,transparency,"**Title**: Comprehensive Testing and Training for Car Identification System

**Description**: As a developer, I want to ensure that the car identification system is thoroughly tested with both correct and incorrect data, and that error handling procedures are clearly defined and incorporated into the terminal action plan. Additionally, terminal personnel must be properly trained in these error handling procedures to ensure effective and trustworthy operations.

**Ethical principles used**: Responsibility, Trust"
10,The data tied to a person can be found and is eraseable in the system upon request.,privacy,transparency,freedom and autonomy,"**Title**: Right to Data Erasure on Request

**Description**: As a user, I want to be able to request the deletion of my personal data from the system and have assurance that the data tied to me can be found and erased promptly upon my request.

**Ethical principles used**: Privacy, Transparency"
11,Smart terminal area is defined in the blueprints of the SMARTER project with responsibilities and roles.,responsibility,privacy,transparency,"**Title**: Define Smart Terminal Area Roles and Responsibilities

**Description**: As a member of the SMARTER project team, I want the smart terminal area defined in the blueprints to include clear responsibilities and roles, ensuring that all stakeholders are accountable for their actions and that privacy protocols are established and maintained.

**Ethical principles used**: Responsibility, Privacy"
12,The data storing and collecting follows the GDPR regulations and identifying data is anonymized or destroyed within the legal time frame.,privacy,responsibility,transparency,"**Title**: Ensure GDPR-Compliant Data Handling

**Description**: As a responsible data custodian, I want to ensure that all data storing and collecting processes strictly follow GDPR regulations, so that any identifying data is anonymized or destroyed within the legal time frame. This will protect user privacy and uphold our ethical responsibility towards data management.

**Ethical principles used**: Privacy, Responsibility"
13,"Before being able to finish purchasing tickets, the passenger is required to accept the terms and conditions of using the smart terminal and having the minimum required data collected.",transparency,freedom and autonomy,privacy,"**Title**: Informed Consent for Data Collection and Usage

**Description**: As a passenger, I want to be fully informed and give explicit consent before purchasing tickets, so that I understand the terms and conditions of using the smart terminal and am aware of the specific data being collected, ensuring my freedom and autonomy are respected.

**Ethical principles used**: Transparency, Freedom and Autonomy"
14,Communication plan has a section about on-time communication for different logistical purposes towards car carriers,transparency,trust,privacy,"**Title**: Ensure On-time Communication for Car Carriers

**Description**: A communication plan must include specific sections that ensure the timely dissemination of information for various logistical purposes related to car carriers. This fosters transparency in the communication process and builds trust among all stakeholders by ensuring that relevant information is shared promptly and accurately.

**Ethical principles used**: Transparency, Trust"
15,Data consent lifecycle is defined in the SMART terminal blueprints.,privacy,transparency,trust,"**Title**: Define Data Consent Lifecycle in SMART Terminal Blueprints

**Description**: As a user, I want the SMART terminal blueprints to include a clearly defined data consent lifecycle, so that I am fully informed about how my personal data will be collected, used, stored, and deleted, and can provide informed consent. This ensures that my privacy is respected and provides transparency regarding data handling processes.

**Ethical principles used**: Privacy, Transparency"
16,Harbor area will have clear signs of the data requirities and visualize the flow of events.,transparency,privacy,dignity,"**Title**: Transparent Data Requirement Signage and Event Flow Visualization

**Description**: As a user, I want the harbor area to have clear signage explaining the data requirements and visualizations of the flow of events, so that I can understand what data is being collected, why it is collected, and how it is being used. This will allow me to make informed decisions regarding my data privacy while ensuring transparency in data handling processes.

**Ethical principles used**: Transparency, Privacy"
17,"The boarding process is as similar to what it used to be as possible, or even simpler. Any and all instructions are crystal clear so that the passengers are able to proceed without asking for assistance as often as possible.",transparency,freedom and autonomy,justice and equity,"**Title**: Clear, Autonomy-Promoting Boarding Process

**Description**: As a boarding system designer, I want to ensure that the boarding process is as similar to the traditional one as possible, or even simpler. Clear and concise instructions should be provided so that passengers can proceed without frequently asking for assistance, promoting their autonomy and confidence in the process.

**Ethical principles used**: Transparency, Freedom and Autonomy"
18,Action plan for personnels in terms of delays are embedded into the logistics plan and it will have a section on human behaviour with smart system delays and actions preventing misbehaviour on passsengers.,beneficence,responsibility,non-maleficence,"**Title**: Implement Action Plan for Delays in Logistics with Ethical Consideration for Human Behavior

**Description**: As a logistics planner, I want to embed an action plan for personnel regarding delays into the overall logistics plan. This plan should include a dedicated section on human behavior, which leverages a smart system to predict delays and suggest actions to prevent passenger misbehavior. The goal is to ensure a smooth, efficient, and ethical handling of delays, thereby benefitting both the staff and the passengers.

**Ethical principles used**: Beneficence, Responsibility"
19,"The system can display capacity information for passengers that access the service remotely and at the port, display terminals can also provide these types of information for passengers.",transparency,trust,beneficence,"**Title**: Display Capacity Information Transparently and Reliably for Passengers

**Description**: As a passenger, I want the system to display clear and accurate capacity information both remotely and at the port's display terminals, so that I can trust the information provided and make informed decisions about my travel plans.

**Ethical principles used**: Transparency, Trust"
20,Clear logs that shows the state of the system and provide appropriate feedback and APIs that can improve system integration.,transparency,trust,responsibility,"**Title**: Transparent Logging and Feedback for Improved System Integration

**Description**: As a user, I want clear logs that display the state of the system and APIs that provide appropriate feedback, to ensure seamless system integration and build trust through transparency.

**Ethical principles used**: Transparency, Trust"
21,Technical data of the camera is communicated to developers and also to wider audience in order to built trust on the system as a whole,trust,transparency,responsibility,"**Title**: Communicate Technical Camera Data Transparently

**Description**: As a developer, I want technical data of the camera to be communicated not only to the developing team but also to a wider audience. This will help build trust in the system by ensuring that the functionality and limitations of the camera are openly shared and understood by all stakeholders.

**Ethical principles used**: Trust, Transparency"
22,Different use cases in passenger flows are modeled and communicated to all needed participants torugh the development lifecycle.,transparency,responsibility,trust,"**Title**: Transparent Communication of Passenger Flow Use Cases 

**Description**: As a developer, I want to ensure that different use cases in passenger flows are transparently modeled and communicated to all relevant participants throughout the development lifecycle, so that everyone involved has a clear understanding of the processes, potential risks, and responsibilities.

**Ethical principles used**: Transparency, Responsibility"
23,"Passengers are instructed to clear their register plates before arriving to the terminal. An employee is still present to resolve problem situations (e.g. to quickly clean the register plate if needed). Accidents are handled as they currently are when two human drivers are involved. For accident situations with smart vehicles, accountability is also determined by the smart vehicle's accountability.",responsibility,non-maleficence,transparency,"**Title**: Ensuring Safe and Responsible Use of Smart Vehicles at Terminals

**Description**: As a smart vehicle system, I want to ensure that passengers are instructed to clear their register plates before arriving at the terminal, and that an employee is present to resolve any problem situations, such as quickly cleaning the register plate if needed, so as to minimize the risk of accidents. In case of accidents involving smart vehicles, accountability will be determined according to existing practices used for human drivers, supplemented by the smart vehicle's accountability to ensure clear responsibilities.

**Ethical principles used**: Responsibility, Non-maleficence"
