,text,major_principle,is_major_principle_here,ethical_us
0,"An intelligent system connected to the video surveillance in the terminal can be given parameters to search for the current or latest location of a vehicle or person in the terminal by being given the register plate, a photo of a person, or other such identifying data.",privacy,True,"**Title**: Ensuring Privacy in Intelligent Video Surveillance System

**Description**: As a responsible developer, I want the intelligent video surveillance system to use identifying data such as vehicle registration plates or photos of individuals only with explicit consent and for clearly defined and limited purposes, ensuring that the privacy of individuals is respected and protected at all stages of data processing."
1,Terminal area and booking documents and booking app contains the help information (for different purposes broken down).,transparency,True,"**Title**: Clear and Comprehensive Help Information in Booking Systems

**Description**: As a user, I want the terminal area, booking documents, and booking app to contain detailed and easily understandable help information for different purposes so that I can clearly understand how to use these systems effectively and trust that I am making well-informed decisions."
2,"Before a person with a vehicle enters the port, they are given explanation of what information will be handled, for example at the stage of making a reservation when they agree to give the necessary information of their vehicle.",transparency,True,"**Title**: Transparent Information Handling for Vehicle Entry at Port

**Description**: Before individuals enter the port with their vehicle, they should receive a clear explanation of what information will be collected and how it will be used. This explanation must be provided at the reservation stage, ensuring they fully understand and agree to share the necessary details about their vehicle."
3,A clear advertisement is placed on the booking document about the AI and data privacy.,transparency,True,"**Title**: Clear Advertisement on AI and Data Privacy

**Description**: As a user, I want a clear and easily understandable advertisement on the booking document that explains the use of AI technology and how my data privacy is being ensured, so that I am fully aware of and can trust the processes involved."
4,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,transparency,True,"**Title**: Clear Communication of Data Information Policy and GDPR Compliance

**Description**: As a user, I want the data information policy to be clearly communicated on the service app/web page, ensuring procedures for GDPR compliance are transparent. Additionally, I want to be informed about the required steps and procedures for handling large amounts of user data requests, including any potential redirection of resources or expected waiting times."
5,No feature of the smart terminal or port must interfere in an unwanted way with any system in the passenger vehicles.,non-maleficence,True,"**Title**: Prevent Unwanted Interference with Passenger Vehicle Systems

**Description**: As a developer, I want to ensure that no feature of the smart terminal or port interferes in an unwanted way with any system in passenger vehicles, so that we avoid causing any harm or disruption to vehicle operations, ensuring passengers' safety and well-being."
6,"Car indentation system (digital, semi-automated, etc.) with control, navigation and markings is placed in the car deck to direct cars in line and to right places.",beneficence,True,"**Title**: Ensure Safe and Efficient Vehicle Navigation on Car Deck

**Description**: As a developer, I want to implement a car indentation system with digital, semi-automated control, navigation, and markings to ensure vehicles are directed efficiently and safely to their designated spots on the car deck, thereby reducing the risk of accidents and improving overall organization and safety for all passengers."
7,"The system has a reliable way to detect people sitting in a vehicle, that is in balance with respecting the privacy of passengers and adhering to border protocols",privacy,True,"**Title**: Ensure Privacy in Occupant Detection System

**Description**: As a developer, I want to design the system to reliably detect people sitting in a vehicle while ensuring that the privacy of passengers is respected, so that the system adheres to border protocols without compromising individual privacy."
8,"The system is transparent in its functioning and marks possible ""uncertain"" situations with timestamps or other identifying information",transparency,True,"**Title**: Ensure System Transparency and Flag Uncertain Situations

**Description**: As a user, I want the system to function transparently by marking any possible ""uncertain"" situations with timestamps or other identifying information, so that I can clearly understand and track when and where uncertainties occur, ensuring that the process remains transparent and trustworthy."
9,Car identification system is tested with right and wrong data and error handling is defined in the terminal action plan and terminal personnel is trained with error handling.,responsibility,True,"**Title**: Ensuring Responsible Error Handling in Car Identification System

**Description**: As a responsible developer, I want to ensure that the car identification system is tested with both correct and incorrect data, and that comprehensive error handling procedures are defined and integrated into the terminal action plan. Additionally, I want to ensure that terminal personnel are adequately trained in error handling protocols to ensure accountability, integrity, and reliability in system operations."
10,The data tied to a person can be found and is eraseable in the system upon request.,privacy,True,"**Title**: Right to Data Erasure 

**Description**: As a user, I want to ensure that any data tied to me can be easily located and permanently erased from the system upon my request, so that my privacy is respected and my personal information is not kept without my consent."
11,Smart terminal area is defined in the blueprints of the SMARTER project with responsibilities and roles.,responsibility,True,"**Title**: Define Clear Responsibilities and Roles for the Smart Terminal Area

**Description**: As part of the SMARTER project, the smart terminal area must have clearly defined responsibilities and roles articulated in the blueprints. This ensures that all stakeholders understand their obligations and are held accountable, fostering an environment of integrity and responsible behavior."
12,The data storing and collecting follows the GDPR regulations and identifying data is anonymized or destroyed within the legal time frame.,privacy,True,"**Title**: Compliance with GDPR for Data Storage and Collection

**Description**: As a responsible AI system, we ensure that all data collection and storage practices comply with GDPR regulations by anonymizing or destroying personally identifying information within the legally mandated time frame to safeguard individuals' privacy."
13,"Before being able to finish purchasing tickets, the passenger is required to accept the terms and conditions of using the smart terminal and having the minimum required data collected.",transparency,True,"**Title**: Ensure Passenger Informed Consent

**Description**: As a passenger using the smart terminal, I want clear and understandable information regarding the terms and conditions, as well as the data collection practices, so that I can make an informed decision and provide my explicit consent before completing my ticket purchase."
14,Communication plan has a section about on-time communication for different logistical purposes towards car carriers,transparency,True,"**Title**: Transparent Communication for Car Carrier Logistics

**Description**: Ensure that the communication plan for car carrier logistics includes a section dedicated to on-time communication for various logistical purposes. This will provide clear, understandable, and timely information to all stakeholders, fostering transparency in the logistics process."
15,Data consent lifecycle is defined in the SMART terminal blueprints.,privacy,True,"**Title**: Define Data Consent Lifecycle 

**Description**: Ensure that the SMART terminal blueprints include a well-defined data consent lifecycle to protect the privacy of individuals. This should detail how consent is obtained, updated, and managed over time, guaranteeing that user data is only used in ways that have been explicitly permitted by the individuals."
16,Harbor area will have clear signs of the data requirities and visualize the flow of events.,transparency,True,"**Title**: Clear Signage and Visualization of Data Requirements in Harbor Area

**Description**: As a user, I want the harbor area to have clear signs indicating data requirements and visualizations of the flow of events, so that I can understand the processes, requirements, and data flow easily. This ensures transparency and helps in making informed decisions about my interactions with the harbor's systems and services."
17,"The boarding process is as similar to what it used to be as possible, or even simpler. Any and all instructions are crystal clear so that the passengers are able to proceed without asking for assistance as often as possible.",transparency,True,"**Title**: Transparent and Understandable Boarding Process  

**Description**: As a passenger, I want the boarding process to be as similar to the traditional process as possible or even simpler, with crystal-clear instructions. This ensures that I can follow the steps independently without needing to ask for assistance frequently, fostering transparency and understanding of the boarding procedure."
18,Action plan for personnels in terms of delays are embedded into the logistics plan and it will have a section on human behaviour with smart system delays and actions preventing misbehaviour on passsengers.,beneficence,True,"**Title**: Integrating Action Plans for Delay Management in Logistics

**Description**: To benefit passengers and staff by incorporating detailed action plans for personnel management in the event of delays into the logistics plan. This section will highlight human behavior, smart system delays, and proactive measures to prevent misbehavior among passengers, ensuring that the system works smoothly and humanely during disruptions."
19,"The system can display capacity information for passengers that access the service remotely and at the port, display terminals can also provide these types of information for passengers.",transparency,True,"**Title**: Provide Transparent Capacity Information for Passengers

**Description**: As a user accessing the service remotely or at the port, I want the system to clearly display capacity information through both online platforms and display terminals, so I can make informed decisions about my travel plans based on the current availability data."
20,Clear logs that shows the state of the system and provide appropriate feedback and APIs that can improve system integration.,transparency,True,"**Title**: Establish Transparent System Logging and API Feedback

**Description**: As a user, I want the system to maintain clear and accessible logs that reflect the current state of the system and provide actionable feedback via APIs. This will ensure transparency and facilitate better understanding and integration of the system's operations and performance."
21,Technical data of the camera is communicated to developers and also to wider audience in order to built trust on the system as a whole,trust,True,"**Title**: Ensure Transparent Communication of Camera Technical Data

**Description**: As a stakeholder, I want the technical data of the camera to be communicated clearly to both developers and the wider audience, so that trust in the system's reliability and security can be established and maintained."
22,Different use cases in passenger flows are modeled and communicated to all needed participants torugh the development lifecycle.,transparency,True,"**Title**: Transparent Communication of Passenger Flow Models

**Description**: Ensure that all use cases in passenger flows are clearly modeled and communicated to all relevant participants throughout the development lifecycle, promoting transparency and understanding of the AI processes involved."
23,"Passengers are instructed to clear their register plates before arriving to the terminal. An employee is still present to resolve problem situations (e.g. to quickly clean the register plate if needed). Accidents are handled as they currently are when two human drivers are involved. For accident situations with smart vehicles, accountability is also determined by the smart vehicle's accountability.",responsibility,True,"**Title**: Ensuring Accountability for Smart Vehicle Accidents

**Description**: As part of our commitment to the principle of responsibility, passengers using smart vehicles are required to clear their register plates before arriving at the terminal. This helps ensure clarity in identifying vehicles. Despite this automation, an employee will be present to assist in resolving any issues, such as dirty register plates. In the event of an accident involving smart vehicles, accountability will be determined similarly to accidents between human drivers, ensuring that the smart vehicle's accountability mechanisms are also considered. This ensures that all parties understand their responsibilities and are held accountable for their actions."
24,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",privacy,True,"**Title**: Ensure Privacy in Smart Vehicle Interactions

**Description**: As an ethical developer, I want the terminal to interact with smart vehicles in a way that respects privacy by clearly defining and limiting the data shared and the permissions for information exchange, so that the privacy of both parties is maintained.
"
25,Smart harborfollows a protocol on traditional cars and a smart vehicles when developing the flow of events from harbor entering to entering to the ship.,justice and equity,True,"**Title**: Ensure Equitable Treatment in Harbor Protocol for Traditional and Smart Vehicles

**Description**: As a system designer of the Smart Harbor, I want to ensure that the protocol for processing both traditional cars and smart vehicles follows an equitable flow of events from entering the harbor to boarding the ship. This is to guarantee that all vehicles, regardless of their technological advancements, are treated fairly and without discrimination."
26,Boarding pass on cars are shared with instructions for different vehicles.,transparency,True,"**Title**: Transparent Communication of Boarding Pass Instructions

**Description**: As users of a shared transport service, individuals should receive clear, detailed, and understandable instructions for boarding passes specific to different vehicles. This ensures they have the necessary information to make informed decisions and navigate the system efficiently."
27,The system can provide a standby system in place should the traffic lights fail or a human traffic warden that will help direct traffic for ship loading and unloading.,responsibility,True," **Title**: Implementation of Fail-safe Traffic Management System

 **Description**: As an ethical engineer, I want to ensure that there is a robust fail-safe system in place, such as a standby system or a human traffic warden, to manage traffic during ship loading and unloading. This measure ensures that the responsibility is taken to maintain efficient and safe traffic flow, thereby mitigating the risk of accidents and operational disruptions in case of traffic light failures."
28,Digital scanners that synchronize passenger information with regulations such as alcohol limits that can be brought in and to ensure that drunk or underage passengers are not driving.,non-maleficence,True,"**Title**: Ensure Passenger Safety with Digital Scanners

**Description**: As a system designer, I want to integrate digital scanners that synchronize passenger information with regulations, such as alcohol limits and age restrictions, to ensure that drunk or underage passengers are not driving, thereby preventing harm and promoting the safety of all passengers and others on the road."
29,The system can provide a standby system in place should the traffic lights fail or a human traffic warden that will help direct traffic for ship loading and unloading.,non-maleficence,True,"**Title**: Ensuring Safety in Traffic Management for Ship Loading and Unloading

**Description**: As a system designer, I want to ensure that there is a standby system, such as a backup traffic signal or a human traffic warden, in place to manage traffic effectively during ship loading and unloading operations. This is to prevent accidents, confusion, and potential harm that could result from a failure of the primary traffic signal system, thereby adhering to the principle of non-maleficence by avoiding harm to individuals."
30,"Regular digital or even manual information system checks with prompts informing on current updates such as parking information, duration of parking, etc.",transparency,True,"**Title**: Ensure Transparent Communication of Parking Information Updates

**Description**: As a system user, I want regular digital or manual checks of the information system to send prompts informing me of current updates such as parking information and duration. This will ensure transparency, allowing me to understand the status and changes promptly and clearly."
31,Digital verification devices such as number plate scanners for vehicles to ensure that vehicle is authentic and in line with regulations and biometic scanner for human passengers.,trust,True,"**Title**: Ensuring Trust Through Accurate and Secure Digital Verification

**Description**: As a developer, I want to design digital verification devices, such as number plate scanners for vehicles and biometric scanners for human passengers, that are accurate, reliable, and secure in order to foster trust among users. This means implementing rigorous testing and data protection measures to ensure that these devices work effectively, protect personal data, and comply with all relevant regulations."
