,text,major_principle,is_major_principle_here,ethical_us,correct
0,"An intelligent system connected to the video surveillance in the terminal can be given parameters to search for the current or latest location of a vehicle or person in the terminal by being given the register plate, a photo of a person, or other such identifying data.",privacy,True,"Title: Privacy-Protected Identification in Surveillance System

Description: As a security officer, I want to locate a vehicle or person using identifying data while ensuring the privacy of individuals is protected, so that surveillance operations comply with privacy regulations.

Work: 
- Implement data encryption for all identifying information inputted into the system.
- Ensure only authorized personnel can access identifying data and system functionalities.
- Log access and usage of identifying data for auditing and accountability purposes.
- Provide a clear privacy policy to users and stakeholders outlining data use and protection measures.
- Conduct privacy impact assessments to identify and mitigate potential privacy risks.
- Enable option for periodic deletion of identifying data to limit long-term retention.
",True
1,Terminal area and booking documents and booking app contains the help information (for different purposes broken down).,transparency,True,"Title: Enhance Transparency in Terminal Area and Booking Documentation

Description: As a user, I want comprehensive help information available in terminal areas, booking documents, and the booking app broken down by purpose so that I can easily understand and access the assistance I need.

Work:
- Ensure help information is accessible in terminal areas and in all sections of booking documents.
- Categorize help information by specific purposes (e.g., booking changes, cancellations, payment issues) to aid user navigation.
- Include clear, concise explanations and instructions within each help section to facilitate user understanding.
- Provide multi-language support for help information to cater to diverse user groups.
- Regularly update the help information to maintain relevance and accuracy.
- Implement a feedback mechanism for users to report unclear or inadequate information.",True
2,"Before a person with a vehicle enters the port, they are given explanation of what information will be handled, for example at the stage of making a reservation when they agree to give the necessary information of their vehicle.",transparency,True,"Title: Clear Information Disclosure for Vehicle Data Handling

Description: As a vehicle owner, I want to receive a transparent explanation of what information will be handled before entering the port, so that I am fully informed and can consent to the use of my data at the reservation stage.

Work: 
- Provide a clear and concise explanation of what vehicle information will be collected and how it will be used, displayed at the point of reservation.
- Ensure the explanation includes the purposes for data collection, potential data sharing with third parties, and data retention policies.
- Allow vehicle owners to review and agree to the data handling practices before making a reservation.
- Include a section for frequently asked questions (FAQ) regarding data handling for vehicles to enhance understanding.
- Implement an option for users to easily access a complete document outlining the data handling policy.
- Test the information disclosure process with a diverse group of users to ensure understandability and clarity.",True
3,A clear advertisement is placed on the booking document about the AI and data privacy.,transparency,True,"Title: Ensure Transparent Communication of AI and Data Privacy in Booking Documents

Description: As a customer, I want to clearly understand how my data is used by AI so that I can make informed decisions about my privacy when booking.

Work:
- Verify that the advertisement about AI and data privacy is prominently displayed on the booking document.
- Ensure the language used in the advertisement is clear, concise, and easy to understand for the average user.
- Include information on what specific data is collected, how it’s used, and the benefits of this data use.
- Provide a link or QR code to a detailed privacy policy for users who want more information.
- Test the advertisement with a diverse group of users to confirm its understandability and clarity.
- Ensure that updates to AI usage and data privacy are reflected immediately in the advertisement on booking documents.",True
4,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,transparency,True,"Title: Transparent Data Policy Communication and GDPR Compliance

Description: As a user, I want clear communication of the data information policy and GDPR compliance procedures on the service app/web page, so that I understand how my personal data is managed and any potential wait times or redirection of resources for large data requests.

Work: 
- Ensure the data information policy is easily accessible and prominently displayed on the service app/web page.
- Provide a comprehensive explanation of GDPR compliance procedures.
- Include clear instructions for users on how to request their data.
- Clearly communicate expected processing times for large data requests and any potential waiting periods.
- Outline the steps for redirection of resources when handling large data requests.
- Regularly review and update the communication content to reflect any changes in data management practices or policies.",True
5,No feature of the smart terminal or port must interfere in an unwanted way with any system in the passenger vehicles.,non-maleficence,True,"Title: Ensure Non-Interference of Smart Terminal Features with Passenger Vehicle Systems

Description: As a vehicle owner, I want smart terminal features to operate without interfering with my vehicle systems so that my driving experience remains safe and uninterrupted.

Work:
- Verify that the smart terminal is tested rigorously to ensure zero interference with vehicle systems.
- Conduct compatibility assessments with a comprehensive range of passenger vehicle models.
- Implement safety protocols that detect and mitigate potential interference scenarios.
- Ensure clear documentation and user guidelines are provided regarding the terminal's interaction with vehicle systems.
- Perform user testing to confirm the absence of interference in real-world scenarios.
- Establish a feedback mechanism for reporting any interference issues post-deployment.",True
6,"Car indentation system (digital, semi-automated, etc.) with control, navigation and markings is placed in the car deck to direct cars in line and to right places.",beneficence,True,"Title: Enhanced Car Deck Navigation for Driver Safety and Efficiency

Description: As a driver, I want a car indentation system on the car deck to guide my vehicle into the correct position so that the process of loading cars is efficient and beneficial for both passengers' safety and convenience.

Work: 
- The system accurately identifies available spots and guides cars to the correct position.
- Navigation and markings are clear and easy to understand for all drivers.
- The system provides seamless and safe automated or semi-automated assistance in directing vehicles.
- Regular updates ensure the system operates reliably and accommodates varying deck layouts and vehicle sizes.
- Any potential issues or obstructions are communicated to the driver in a timely manner to prevent accidents.",True
7,"The system has a reliable way to detect people sitting in a vehicle, that is in balance with respecting the privacy of passengers and adhering to border protocols",privacy,True,"Title: Privacy-Conscious Passenger Detection in Vehicle

Description: As a border security officer, I want to reliably detect people sitting in a vehicle in a way that respects passenger privacy and adheres to border protocols, so that I can ensure border security without compromising individual privacy rights.

Work:
1. Ensure that the detection system collects only necessary data that cannot be used to personally identify the vehicle occupants.
2. Implement data anonymization techniques to protect passenger identities.
3. Ensure compliance with relevant data protection and privacy laws and regulations when designing the detection system.
4. Design a clear protocol for how detected data is processed, stored, and used, with an emphasis on minimizing retention periods.
5. Provide users with clear information about what data is being collected and how it will be used, ensuring transparency.
6. Regularly audit the system to ensure ongoing compliance with privacy requirements and protocols.",True
8,"The system is transparent in its functioning and marks possible ""uncertain"" situations with timestamps or other identifying information",transparency,True,"Title: Enhance System Transparency with Identifiable Markers for Uncertainty

Description: As a system user, I want the system to transparently mark possible ""uncertain"" situations with timestamps or other identifying information so that I can understand and address potential ambiguities or inconsistencies effectively.

Work: 
- The system should clearly label situations deemed ""uncertain"" with a timestamp.
- The system should provide additional identifying information to pinpoint where and why uncertainty arises.
- A user interface element should display this information in an accessible and understandable manner.
- Notifications or alerts should be sent to relevant users when such marked situations occur.
- Documentation explaining the criteria for marking situations as ""uncertain"" should be available for users.
- Conduct user testing to ensure users can navigate and interpret ""uncertain"" markers proficiently.
",True
9,Car identification system is tested with right and wrong data and error handling is defined in the terminal action plan and terminal personnel is trained with error handling.,responsibility,True,"Title: Comprehensive Error Handling and Training for Car Identification System

Description: As a system administrator, I want the car identification system to be thoroughly tested with both accurate and inaccurate data, and have a clearly defined error handling plan so that I can ensure system reliability and manage errors efficiently.

Work: 
- Verify that the car identification system is tested with a diverse set of data inputs, including both correct and incorrect data.
- Develop a detailed error handling action plan that outlines steps to take when errors are encountered.
- Train terminal personnel in effective error handling procedures, ensuring they understand the action plan.
- Validate that terminal personnel can demonstrate correct error handling techniques during simulated scenarios.
- Set up a monitoring system to collect feedback from terminal personnel about error handling processes for future improvements.",True
