,text,major_principle,is_major_principle_here,ethical_us,correct
0,"An intelligent system connected to the video surveillance in the terminal can be given parameters to search for the current or latest location of a vehicle or person in the terminal by being given the register plate, a photo of a person, or other such identifying data.",privacy,True,"Title: Privacy-Respecting Intelligent Surveillance Search

Description: As a data privacy officer, I want to ensure that searches for vehicles or persons using surveillance systems are conducted with user consent and data minimization so that individual privacy is protected.

Work: Implement a permission framework that requires explicit consent before using identifying data such as register plates or photos. Ensure data is anonymized and access is logged and restricted to authorized personnel only.",True
1,Terminal area and booking documents and booking app contains the help information (for different purposes broken down).,transparency,True,"Title: Transparent Help Information for Terminal Area and Booking Systems

Description: As a user seeking assistance, I want to access clear and detailed help information in the terminal area, booking documents, and booking app so that I can understand how to use these systems effectively and independently.

Work: Break down and categorize the help information for different purposes, ensuring it is accessible within the terminal area, booking documents, and booking app. The help content should be easy to navigate, comprehensive, and provided in a language that is understandable to all users.",True
2,"Before a person with a vehicle enters the port, they are given explanation of what information will be handled, for example at the stage of making a reservation when they agree to give the necessary information of their vehicle.",transparency,True,"Title: Vehicle Information Transparency Prior to Port Entry

Description: As a vehicle owner, I want to be clearly informed about what information will be handled before entering the port so that I can understand and consent to data usage during the reservation process.

Work: Develop a clear and detailed explanation process, presented at the reservation stage, covering how vehicle information will be used, stored, and managed, ensuring the information is easily understandable before the data is collected.",True
3,A clear advertisement is placed on the booking document about the AI and data privacy.,transparency,True,"Title: Transparent Communication of AI and Data Privacy on Booking Documents

Description: As a customer, I want to see a clear advertisement on the booking document about AI and data privacy so that I am informed and can make informed decisions about my data.

Work: Ensure all booking documents include a prominent section that clearly communicates information regarding the usage of AI and data privacy practices, including any data collection and processing details, to maintain transparency and build trust with customers.",True
4,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,transparency,True,"Title: Transparent Data Handling and GDPR Compliance Communication

Description: As a user, I want to clearly understand data information policies and procedures regarding GDPR compliance, so that I can be assured of my rights and the processing of my personal data.

Work: Ensure that data information policies and GDPR compliance procedures are prominently communicated on the service app/web page. Develop clear guidelines for handling a large number of user data requests, such as resource redirection or estimated waiting times, and make this information easily accessible to users.",True
5,No feature of the smart terminal or port must interfere in an unwanted way with any system in the passenger vehicles.,non-maleficence,True,"Title: Ensuring Non-Interference of Smart Terminals with Vehicle Systems  

Description: As a passenger vehicle user, I want assurance that no feature of the smart terminal or port interferes in an unwanted way with any system in the passenger vehicles so that my journeys remain safe and free from technical disruptions.  

Work: Conduct thorough testing of all smart terminal features to confirm they do not inadvertently interact with or affect vehicle systems. Implement safeguards to prevent unintended interactions and continuously monitor for potential interference issues.",True
6,"Car indentation system (digital, semi-automated, etc.) with control, navigation and markings is placed in the car deck to direct cars in line and to right places.",beneficence,True,"Title: Car Indentation System for Safe and Efficient Parking

Description: As a vehicle operator, I want to utilize a car indentation system with control, navigation, and markings, so that cars can be directed safely and efficiently into their designated places on the car deck, enhancing both safety and operational efficiency.

Work: Develop and integrate a semi-automated car indentation system on the car deck featuring intuitive control, precise navigation, and clear markings. Test the system to ensure it accurately directs vehicles, prevents collisions or misalignment, and improves the overall flow and organization of vehicle parking to benefit both operators and passengers.",True
7,"The system has a reliable way to detect people sitting in a vehicle, that is in balance with respecting the privacy of passengers and adhering to border protocols",privacy,True,"Title: Privacy-Respecting Passenger Detection in Vehicles

Description: As a border security officer, I want to reliably detect people sitting in a vehicle while respecting passenger privacy and adhering to border protocols so that we can ensure security without compromising personal privacy.

Work: Implement a detection system that uses privacy-preserving technologies, such as anonymized data processing or sensor data that do not capture or store identifiable information, and validate its compliance with border security protocols and privacy regulations.",True
8,"The system is transparent in its functioning and marks possible ""uncertain"" situations with timestamps or other identifying information",transparency,True,"Title: Clear and Trackable System Alerts

Description: As a responsible user, I want the system to transparently indicate and mark ""uncertain"" situations with timestamps or other identifying information so that I can review and understand these moments accurately.

Work: Implement a feature that flags situations as ""uncertain"" and records relevant data such as timestamps or identifiers. Ensure that this information is readily visible and accessible to users, and provide explanations or logs that clarify why a situation was marked as such.",True
9,Car identification system is tested with right and wrong data and error handling is defined in the terminal action plan and terminal personnel is trained with error handling.,responsibility,True,"Title: Comprehensive Error Handling and Training in Car Identification System

Description: As a terminal operator, I want the car identification system to be tested with both correct and incorrect data and ensure a well-defined error handling protocol, so that I can responsibly manage and mitigate errors during operations.

Work: Test the car identification system using both correct and incorrect datasets to identify potential errors; define a clear and effective error handling protocol in the terminal action plan; and provide thorough training to terminal personnel on following these protocols.",True
10,The data tied to a person can be found and is eraseable in the system upon request.,privacy,True,"Title: Personal Data Erasure Request Fulfillment

Description: As a user, I want to be able to find and erase my personal data in the system upon request so that my privacy is maintained and respected.

Work: Implement a user interface feature that allows users to submit data erasure requests and develop backend processes to ensure data is securely located and erased from the system upon verification of the request.",True
11,Smart terminal area is defined in the blueprints of the SMARTER project with responsibilities and roles.,responsibility,True,"Title: Define Responsibilities and Roles in Smart Terminal Blueprints

Description: As a project stakeholder, I want to ensure that the SMARTER project's smart terminal area has clearly defined responsibilities and roles so that accountability and integrity are maintained throughout the project's lifecycle.

Work: Review and refine the blueprints of the SMARTER project to outline specific responsibilities and roles within the smart terminal area. Ensure clear documentation and communication of these roles to all relevant team members and stakeholders. Validate the alignment of roles with ethical standards of responsibility.",True
12,The data storing and collecting follows the GDPR regulations and identifying data is anonymized or destroyed within the legal time frame.,privacy,True,"Title: GDPR-Compliant Data Management

Description: As a data subject, I want my personal information to be anonymized or destroyed within the legal time frame so that my privacy is respected and protected.

Work: Ensure that data storage and collection processes adhere to GDPR regulations by implementing systems to automatically anonymize or delete personal data within the required legal time frames. Regular audits and compliance checks should be conducted to maintain adherence to GDPR standards.",True
13,"Before being able to finish purchasing tickets, the passenger is required to accept the terms and conditions of using the smart terminal and having the minimum required data collected.",transparency,True,"Title: Ensure Informed Consent for Ticket Purchase

Description: As a passenger, I want to clearly understand the terms and conditions and the data collected before purchasing tickets so that I can make an informed decision about using the smart terminal.

Work: 

1. Develop a user-friendly interface that presents the terms and conditions and data collection policies in a clear and understandable manner.
2. Implement an acknowledgment feature requiring passengers to confirm understanding and acceptance of the terms and conditions before purchase.
3. Create an easy-to-navigate FAQ section to address common concerns about terms, conditions, and data privacy.
4. Conduct usability testing to ensure passengers can comprehend the information easily.
5. Provide options for users to receive the terms and conditions document via email for their records.",True
14,Communication plan has a section about on-time communication for different logistical purposes towards car carriers,transparency,True,"Title: Transparent Communication for Logistics Coordination

Description: As a logistics coordinator, I want to ensure on-time communication for various logistical purposes towards car carriers so that all involved parties have a clear understanding of schedules and expectations.

Work: Develop and integrate a comprehensive communication plan that includes standardized procedures and platforms for timely updates, notifications, and information sharing with car carriers. Ensure that all communications are documented and accessible to stakeholders to promote transparency and accountability in logistical operations.",True
15,Data consent lifecycle is defined in the SMART terminal blueprints.,privacy,True,"Title: Comprehensive Data Consent Management for SMART Terminals

Description: As a terminal user, I want to ensure my data consent preferences are clearly defined and respected so that my personal data privacy is maintained throughout my interactions with SMART terminals.

Work: Define and implement a detailed data consent lifecycle in the SMART terminal blueprints, ensuring all stages of data collection, processing, and storage are transparent and aligned with user consent.",True
16,Harbor area will have clear signs of the data requirities and visualize the flow of events.,transparency,True,"Title: Enhance Transparency with Clear Data Requisition Signage and Event Flow Visualization

Description: As a harbor operator, I want to have clear signs displaying data requisites and visualize the flow of events so that I can ensure transparency in data handling and operational processes.

Work: Develop and install signage that clearly outlines data requirements in the harbor area. Implement a system to visualize the flow of events, ensuring the information is accessible and easily understood by all stakeholders involved.",True
17,"The boarding process is as similar to what it used to be as possible, or even simpler. Any and all instructions are crystal clear so that the passengers are able to proceed without asking for assistance as often as possible.",transparency,True,"Title: Transparent Boarding Process

Description: As a passenger, I want the boarding process and instructions to be clear and straightforward so that I can navigate it independently without needing frequent assistance.

Work: Ensure that all boarding instructions are communicated in a clear, understandable manner for passengers. Develop user-friendly visual and audio aids to assist in understanding the boarding process. Test the clarity of instructions with a diverse group of passengers to ensure they are intuitive and easily followed without additional guidance.",True
18,Action plan for personnels in terms of delays are embedded into the logistics plan and it will have a section on human behaviour with smart system delays and actions preventing misbehaviour on passsengers.,beneficence,True,"Title: Implementing a Beneficial Action Plan for Logistics and Passenger Behavior

Description: As a logistics coordinator, I want to embed an action plan for personnel into the logistics plan so that we can effectively manage delays and prevent misbehavior among passengers, ultimately ensuring a smooth travel experience that benefits all stakeholders.

Work: Develop a smart system that analyzes potential delays, creates contingency actions for personnel, and includes guidelines for addressing and preventing passenger misbehavior. Ensure the system enhances travel efficiency and passenger experience by implementing proactive measures and training for personnel on best practices in handling logistics challenges and customer interactions in beneficial ways.
",True
19,"The system can display capacity information for passengers that access the service remotely and at the port, display terminals can also provide these types of information for passengers.",transparency,True,"Title: Enhanced Passenger Transparency on Capacity Information

Description: As a passenger, I want to access accurate and up-to-date capacity information both remotely and at the port, so that I can make informed decisions about my travel plans.

Work: Develop and integrate a user-friendly interface that displays real-time capacity information online and on display terminals at the port. The system should ensure data accuracy and regular updates to maintain transparency with passengers.",True
20,Clear logs that shows the state of the system and provide appropriate feedback and APIs that can improve system integration.,transparency,True,"Title: Transparent System State and Integration Enhancement

Description: As a system integrator, I want to access clear logs that show the state of the system and provide appropriate feedback and APIs to improve system integration so that I can ensure seamless and reliable operations.

Work: Develop and implement a transparent logging system that accurately reflects the system's state, integrates detailed feedback mechanisms, and provides comprehensive APIs to facilitate enhanced system integration and communication.",True
21,Technical data of the camera is communicated to developers and also to wider audience in order to built trust on the system as a whole,trust,True,"Title: Enhancing Transparency and Trust through Technical Data Communication

Description: As a responsible AI developer, I want to communicate the technical data of the camera to both developers and the wider audience so that trust in the system as a whole can be built.

Work: Ensure that technical data of the camera is accurately documented, translated into understandable formats, and made accessible to developers and the public in a transparent manner, using various communication channels to reach diverse audiences.",True
22,Different use cases in passenger flows are modeled and communicated to all needed participants torugh the development lifecycle.,transparency,True,"Title: Transparent Communication of Passenger Flow Models

Description: As a project stakeholder, I want to ensure that different use cases in passenger flows are clearly modeled and communicated to all necessary participants throughout the development lifecycle so that everyone involved has a clear understanding and can make informed decisions.

Work: Create detailed documentation and regular updates of passenger flow use cases, establish a communication plan to distribute information to all stakeholders, and implement feedback loops to ensure understanding and address questions or concerns promptly.",True
23,"Passengers are instructed to clear their register plates before arriving to the terminal. An employee is still present to resolve problem situations (e.g. to quickly clean the register plate if needed). Accidents are handled as they currently are when two human drivers are involved. For accident situations with smart vehicles, accountability is also determined by the smart vehicle's accountability.",responsibility,True,"Title: Ensuring Accountability in Smart Vehicle Operations

Description: As a transport authority, I want to ensure clear accountability in incidents involving smart vehicles so that responsibility is accurately assigned and safety protocols are upheld.

Work: 
- Implement a system for automatic logging and reporting of smart vehicle incidents.
- Develop clear guidelines and protocols for determining accountability in mixed-traffic incidents.
- Train employees on handling such situations, focusing on resolving disputes and maintaining safety.
- Ensure systems in smart vehicles can communicate incident data effectively and securely with relevant authorities.",True
24,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",privacy,True,"Title: Secure Data Exchange Between Terminals and Smart Vehicles

Description: As a vehicle owner, I want to ensure that my personal data remains private during terminal interactions so that my safety and personal information are protected.

Work: Define and implement strict data sharing protocols, set clear permissions for data access and exchange, and conduct comprehensive privacy assessments to ensure compliance with privacy standards.",True
